ERROR | 2020-02-03 13:08:17,563 | Common.java | 84 | Home page failed to diplay
ERROR | 2020-02-03 13:19:50,909 | Common.java | 84 | Not able to find Run Report
ERROR | 2020-02-03 13:19:56,323 | Common.java | 84 | The given window "2" is failed to open
ERROR | 2020-02-03 13:30:52,583 | Common.java | 84 | Not able to find Run Report
ERROR | 2020-02-03 13:30:58,051 | Common.java | 84 | The given window "2" is failed to open
ERROR | 2020-02-03 13:35:41,982 | Common.java | 84 | Not able to find Run Report
ERROR | 2020-02-03 13:35:47,351 | Common.java | 84 | The given window "2" is failed to open
ERROR | 2020-02-03 13:41:51,188 | Common.java | 84 | Billing - Due Date Summary with Jurisdiction CountReport not generated -Issue in the Report.
ERROR | 2020-02-03 13:45:10,918 | Common.java | 84 | Due Date - ExtensionReport not generated -Issue in the Report.
ERROR | 2020-02-03 13:47:49,445 | Common.java | 84 | Not able to find Run Report
ERROR | 2020-02-03 13:47:54,864 | Common.java | 84 | The given window "2" is failed to open
